Category,Subcategory,Title,Brand,Country,URL
Молочные продукты и яйца,Йогурт,Бифидойогурт термостатный натуральный Активиа ст 170г,ТМ Активиа,RU,https://contentservice.kz/product/4600605021842-kz-bioyogurt-danone-aktivia-termostatnaya-35-170gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Малина-Базилик Epica п/бут 290г,ТМ Epica,RU,https://contentservice.kz/product/4606779782305-kz-yogurt-pitevoy-epica-malinabazilik-25-290ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Клубника Danone ст 4х120г,ТМ Danone,KZ,https://contentservice.kz/product/4870206414163-kz-yogurt-danone-klubnika-25-120gr-stak
Молочные продукты и яйца,Йогурт,Биопростокваша 2.5% сладкая с ароматом дыни Биотонус Эмиль т/п 900г,ТМ Эмиль,KZ,https://contentservice.kz/product/4870005355315-kz-bioprostokvasha-pitevaya-emil-biotonus-so-vkusom-dyni-25-900ml-trx
Молочные продукты и яйца,Йогурт,Йогурт 8.4% греческий натуральный FoodMaster ст 130г,ТМ Food Master,KZ,https://contentservice.kz/product/4870207313328-kz-yogurt-foodmaster-grecheskiy-naturalnyy-84-130gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.6% густой Вишня-малина Чудо д/п 110г,ТМ Чудо,RU,https://contentservice.kz/product/4690228035630-kz-yogurt-chudo-gustoy-vishnya-malina-4-110gr-dp
Молочные продукты и яйца,Йогурт,Коктейль 4.5% йогуртный Манговый сорбет Чудо ст 235г,ТМ Чудо,RU,https://contentservice.kz/product/4690228036545-kz-kokteyl-chudo-desert-yogurtnyymangovyy-sorbet-45-235gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 5.1% пастеризованный с соком персика и маракуйи Сливочная Услада ст 95г,ТМ Услада,RU,https://contentservice.kz/product/4606779033407-kz-yogurt-uslada-zolotaya-persmarak-51-95gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 1.2% для детей от 3лет Мультифрукт Растишка п/бут 150г,ТМ Растишка,KZ,https://contentservice.kz/product/4870206414118-kz-yogurt-pitevoy-rastishka-sok-12-multifrukt-150ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 1.2% обогащенный бифидобактериями и витаминами Малина-Шиповник Имуно Био Баланс п/бут 900г,ТМ Био Баланс,KZ,https://contentservice.kz/product/4870206413258-kz-yogurt-pitevoy-danone-bio-balans-imuno-kompleks-malinashipovnik-930ml-pb
